SERIALNO,TYPEHUGQ
2022GQ0078022,2
2022GQ0078113,3
2022GQ0078197,3
2022GQ0078203,3
2022GQ0078219,2
2022GQ0078277,3
2022GQ0078321,2
2022GQ0078324,3
2022GQ0078484,2
2022GQ0078564,2
2022GQ0078579,3
2022GQ0078596,2
2022GQ0078603,2
2022GQ0079049,2
2022GQ0079153,2
2022GQ0079388,2
2022GQ0079615,2
2022GQ0079639,2
2022GQ0079650,3
2022GQ0079672,3
2022GQ0079861,3
2022GQ0079940,2
2022GQ0079992,2
2022GQ0080020,3
2022GQ0080083,3
2022GQ0080161,2
2022GQ0080316,2
2022GQ0080380,3
2022GQ0080423,3
2022GQ0080443,2
2022GQ0080495,3
2022GQ0080541,2
2022GQ0080710,3
2022GQ0080839,3
2022GQ0080869,3
2022GQ0081017,2
2022GQ0081065,3
2022GQ0081101,3
2022GQ0081208,2
2022GQ0081510,2
2022GQ0081942,2
2022GQ0082108,3
2022GQ0082151,3
2022GQ0082208,3
2022GQ0082239,3
2022GQ0082415,2
2022GQ0082451,3
2022GQ0082473,3
2022GQ0082629,3
2022GQ0082751,3
2022GQ0082890,3
2022GQ0082933,2
2022GQ0083062,2
2022GQ0083169,3
2022GQ0083170,3
2022GQ0083297,2
2022GQ0083305,2
2022GQ0083384,2
2022GQ0083413,2
2022GQ0083713,2
2022GQ0083776,2
2022GQ0083825,3
2022GQ0083881,2
2022GQ0083914,3
2022GQ0083917,3
2022GQ0084038,3
2022GQ0084090,2
2022GQ0084389,2
2022GQ0084532,3
2022GQ0084618,3
2022GQ0084620,3
2022GQ0084697,3
2022GQ0084749,3
2022GQ0084807,2
2022GQ0085112,3
2022GQ0085121,3
2022GQ0085124,3
2022GQ0085183,3
2022GQ0085269,3
2022GQ0085378,3
2022GQ0085384,2
2022GQ0085442,2
2022GQ0085637,3
2022GQ0085717,2
2022GQ0085790,3
2022GQ0086032,2
2022GQ0086037,2
2022GQ0086044,2
2022GQ0086173,3
2022GQ0086215,2
2022GQ0086251,3
2022GQ0086485,2
2022GQ0086519,3
