SERIALNO,OCCP,AGEP,SEX,RAC1P,HISP,SCHL,STATE,PUMA,ESR,WAGP,COW,WKHP
2019GQ0016996,1860.0,19,1,1,1,18.0,21,2200,1.0,2000.0,2.0,10.0
2019GQ0017100,4840.0,23,1,1,1,19.0,21,1100,6.0,0.0,1.0,
2019GQ0017161,4230.0,47,2,1,1,16.0,21,2600,6.0,3500.0,1.0,20.0
2019GQ0017198,4150.0,20,2,1,1,18.0,21,500,2.0,6600.0,1.0,20.0
2019GQ0017270,,15,2,8,24,10.0,21,1703,,0.0,,
2019GQ0017280,,35,1,1,1,19.0,21,2300,6.0,0.0,,
2019GQ0017313,,73,1,9,1,19.0,21,1706,6.0,0.0,,
2019GQ0017366,,87,2,1,1,16.0,21,100,6.0,0.0,,
2019GQ0017392,8990.0,34,1,1,1,17.0,21,800,6.0,0.0,1.0,
2019GQ0017400,4700.0,18,2,1,1,16.0,21,2700,6.0,2400.0,1.0,16.0
2019GQ0017435,4130.0,19,1,1,1,18.0,21,1701,6.0,0.0,1.0,
2019GQ0017551,4640.0,21,2,1,1,19.0,21,100,6.0,7500.0,1.0,20.0
2019GQ0017554,,73,2,1,1,20.0,21,1400,6.0,0.0,,
2019GQ0017558,,35,1,1,1,17.0,21,1400,6.0,0.0,,
2019GQ0017564,,61,2,1,1,11.0,21,300,6.0,0.0,,
2019GQ0017609,,17,2,1,1,12.0,21,1703,6.0,0.0,,
2019GQ0017729,9620.0,20,1,2,1,19.0,21,1901,6.0,2300.0,1.0,16.0
2019GQ0017747,9620.0,53,1,1,1,16.0,21,1400,6.0,260.0,1.0,24.0
2019GQ0017783,4640.0,56,2,2,1,16.0,21,2000,1.0,38000.0,1.0,42.0
2019GQ0017924,,86,2,1,1,21.0,21,300,6.0,0.0,,
2019GQ0017931,7315.0,35,1,1,1,14.0,21,2400,6.0,38000.0,1.0,40.0
2019GQ0018046,,72,1,1,1,6.0,21,1800,6.0,0.0,,
2019GQ0018065,,50,1,1,1,16.0,21,1901,6.0,0.0,,
2019GQ0018116,4640.0,23,1,1,1,19.0,21,100,1.0,16000.0,4.0,30.0
2019GQ0018137,5400.0,19,1,2,1,16.0,21,2100,1.0,5000.0,4.0,17.0
2019GQ0018179,,69,2,1,1,16.0,21,100,6.0,0.0,,
2019GQ0018209,,42,1,8,2,17.0,21,1100,6.0,0.0,,
2019GQ0018240,9310.0,46,1,1,1,19.0,21,100,3.0,15300.0,1.0,20.0
2019GQ0018299,4055.0,18,1,1,1,14.0,21,2700,6.0,1200.0,1.0,35.0
2019GQ0018403,,43,1,1,1,14.0,21,2100,6.0,0.0,,
2019GQ0018439,4020.0,19,1,1,1,19.0,21,500,2.0,3500.0,1.0,30.0
2019GQ0018489,3960.0,18,2,1,1,18.0,21,1901,1.0,10000.0,1.0,20.0
2019GQ0018539,,94,2,1,1,16.0,21,2400,6.0,0.0,,
2019GQ0018807,,62,2,1,1,16.0,21,1901,6.0,0.0,,
2019GQ0018850,,88,2,2,1,11.0,21,1703,6.0,0.0,,
2019GQ0018866,8140.0,19,1,1,2,17.0,21,2100,6.0,300.0,1.0,40.0
2019GQ0019011,4150.0,18,1,1,1,18.0,21,1901,6.0,13300.0,1.0,25.0
2019GQ0019098,,44,2,1,1,19.0,21,300,6.0,0.0,,
2019GQ0019142,2545.0,18,2,1,1,16.0,21,2200,1.0,2000.0,6.0,30.0
2019GQ0019282,,42,1,1,1,16.0,21,1000,6.0,0.0,,
2019GQ0019285,,62,2,1,1,16.0,21,600,6.0,0.0,,
2019GQ0019300,,35,1,1,1,17.0,21,1800,6.0,0.0,,
2019GQ0019383,,77,1,1,1,13.0,21,2300,6.0,0.0,,
2019GQ0019494,9620.0,23,2,1,1,21.0,21,1702,2.0,21600.0,1.0,40.0
2019GQ0019529,9130.0,40,1,1,1,12.0,21,800,6.0,0.0,6.0,
2019GQ0019553,8800.0,49,2,1,1,16.0,21,1300,1.0,17600.0,2.0,40.0
2019GQ0019557,4140.0,23,1,2,1,11.0,21,1400,6.0,0.0,1.0,
2019GQ0019580,2752.0,18,1,2,1,18.0,21,1701,1.0,0.0,6.0,12.0
2019GQ0019607,4251.0,42,1,1,1,19.0,21,2800,6.0,0.0,6.0,40.0
2019GQ0019800,6050.0,19,1,1,1,18.0,21,2100,6.0,3500.0,1.0,24.0
2019GQ0019854,4110.0,27,2,1,1,17.0,21,100,6.0,8000.0,1.0,30.0
2019GQ0019915,9825.0,24,1,1,1,19.0,21,300,4.0,34000.0,5.0,61.0
2019GQ0019992,4020.0,19,1,1,24,16.0,21,1400,6.0,6000.0,1.0,16.0
2019GQ0019995,9610.0,18,1,1,1,19.0,21,2200,1.0,6000.0,1.0,16.0
2019GQ0020046,,88,2,1,1,13.0,21,600,6.0,0.0,,
2019GQ0020105,,94,2,1,1,11.0,21,2000,6.0,0.0,,
2019GQ0020224,2752.0,20,2,1,1,19.0,21,600,1.0,4800.0,2.0,9.0
2019GQ0020236,700.0,38,1,1,1,20.0,21,1903,6.0,800.0,5.0,35.0
2019GQ0020287,,28,1,2,1,13.0,21,1701,6.0,0.0,,
2019GQ0020417,,77,1,1,1,12.0,21,200,6.0,0.0,,
